Hour,Temperature,Humidity,WindSpeed,GeneralDiffuseFlows,DiffuseFlows,PowerConsumption_Zone1,PowerConsumption_Zone2,PowerConsumption_Zone3,TotalConsumption
12,17.1,48.88,4.918,548.7,38.42,35033.92405,21031.00304,17418.79518,73483.72227
13,17.15,49.22,4.919,555.1,39.91,34954.93671,21001.82371,17574.93976,73531.70018000001
13,17.18,49.25,4.918,549.1,39.93,35283.03797,21206.07903,17586.50602,74075.62302
13,17.37,49.42,4.917,557.6,41.53,35185.82278,21118.54103,17783.13253,74087.49634
13,17.38,50.25,4.916,551.6,41.84,35149.36709,21096.65653,17615.42169,73861.44531
13,17.36,48.88,4.919,553.2,40.75,34942.78481,20739.20973,17707.95181,73389.94635
13,17.38,47.18,4.918,549.5,40.85,34602.53165,20717.32523,17615.42169,72935.27857
14,17.36,48.31,4.919,542.7,41.24,34608.60759,20593.31307,17598.07229,72799.99295
14,17.45,49.05,4.914,534.3,41.55,35076.4557,20677.20365,17592.28916,73345.94851
14,17.48,49.68,4.916,525.6,42.5,34414.17722,20469.30091,17424.57831,72308.05644
14,17.43,49.42,4.918,516.9,41.44,34347.34177,20432.82675,17378.31325,72158.48177
14,17.46,49.55,4.917,505.9,41.28,33770.12658,20286.93009,17158.55422,71215.61089
14,17.56,50.28,4.916,489.3,42.81,33423.79747,20352.58359,17146.98795,70923.36901
15,17.46,50.35,4.917,474.1,43.18,33399.49367,19991.48936,16973.49398,70364.47701
15,17.29,49.38,4.916,460.0,43.12,33180.75949,20079.02736,16990.84337,70250.63021999999
15,17.24,46.54,4.915,441.6,43.74,32627.8481,20308.81459,16944.57831,69881.241
15,17.39,48.58,4.916,423.1,45.88,32166.07595,20312.46201,16765.3012,69243.83916
15,17.41,49.51,4.916,403.0,52.81,32251.13924,20126.44377,16603.37349,68980.9565
15,17.34,49.51,4.92,382.3,70.2,32457.72152,20097.26444,16609.15663,69164.14259
16,17.32,49.35,4.915,359.0,114.7,32147.8481,20035.25836,16730.60241,68913.70887
16,17.41,50.35,4.918,332.6,193.0,32147.8481,20009.72644,16655.42169,68812.99623
16,17.21,52.05,4.917,303.7,267.0,32008.10127,19779.93921,16435.66265,68223.70313
16,17.2,55.12,4.917,280.4,293.9,31680.0,19473.55623,16256.38554,67409.94177
16,16.95,55.71,4.915,255.7,289.2,31649.62025,19214.58967,16302.6506,67166.86052
16,16.82,56.88,4.919,228.9,266.3,31783.29114,19320.36474,16470.36145,67574.01733
17,16.78,57.01,4.922,202.4,238.8,31941.26582,19480.85106,16481.92771,67904.04459
17,16.58,56.85,4.918,179.2,213.8,31983.79747,19422.4924,16765.3012,68171.59107
17,16.46,57.38,4.915,151.3,182.0,32712.91139,19692.40122,17517.10843,69922.42104
17,16.26,57.78,4.915,126.1,153.6,33709.36709,20188.44985,18656.38554,72554.20248
17,16.16,57.18,4.915,103.4,127.5,35477.46835,21253.49544,20651.56627,77382.53006
17,16.06,57.44,4.912,83.3,103.8,38132.65823,22858.35866,22889.63855,83880.65544
18,15.99,57.14,4.915,63.68,80.0,41182.78481,24558.05471,24630.36145,90371.20096999999
18,15.87,57.34,4.917,45.39,57.45,42428.35443,25448.02432,25312.77108,93189.14983000001
18,15.84,57.94,4.915,22.27,26.38,42829.36709,25772.64438,25376.38554,93978.39701
18,15.6,59.71,4.916,8.28,8.34,42932.65823,25572.03647,25399.51807,93904.21276999998
18,15.39,61.25,4.916,4.213,4.154,42871.89873,25579.33131,25509.39759,93960.62763
18,15.12,61.88,4.919,1.46,1.598,43163.5443,25677.81155,25532.53012,94373.88596999999
19,14.94,62.55,4.919,0.3,0.293,42969.11392,25418.84498,25440.0,93827.9589
19,14.8,63.05,4.921,0.07,0.126,43139.24051,25444.3769,25769.63855,94353.25596000001
19,14.71,64.35,4.916,0.062,0.119,42926.58228,25316.71733,25711.80723,93955.10684
19,14.5,64.92,4.918,0.07,0.111,42768.60759,25433.43465,25711.80723,93913.84946999999
19,14.31,66.09,4.919,0.055,0.141,42908.35443,25422.4924,25682.89157,94013.7384
19,14.15,67.06,4.921,0.055,0.093,42829.36709,25243.769,25781.20482,93854.34091
20,14.12,67.59,4.917,0.062,0.13,42549.87342,25539.20973,25908.43373,93997.51688000001
20,14.14,66.69,4.914,0.062,0.156,42452.65823,25214.58967,25867.95181,93535.19971
20,14.12,65.79,4.919,0.095,0.063,42604.55696,25356.83891,25873.73494,93835.13081
20,14.0,67.96,4.916,0.059,0.111,42318.98734,25240.12158,25827.46988,93386.5788
20,13.79,69.59,4.916,0.07,0.141,42148.86076,25364.13374,25885.3012,93398.2957
20,13.7,70.6,4.917,0.066,0.104,41996.96203,25407.90274,25896.86747,93301.73224
21,13.59,71.0,4.913,0.051,0.171,41984.81013,25378.7234,25619.27711,92982.81064
21,13.15,70.5,4.913,0.055,0.085,41760.0,25324.01216,25468.91566,92552.92782
21,13.33,70.7,4.919,0.062,0.126,41498.73418,24802.43161,25324.33735,91625.50314
21,13.48,69.16,4.919,0.051,0.093,40957.97468,24879.02736,25179.75904,91016.76108
21,13.41,69.93,4.922,0.022,0.185,40727.08861,24565.34954,25266.50602,90558.94417
21,13.49,66.32,4.923,0.055,0.126,39718.48101,24160.48632,24942.6506,88821.61793000001
22,13.62,63.82,4.912,0.062,0.115,38946.83544,23894.22492,24474.21687,87315.27723
22,13.43,66.96,4.914,0.048,0.141,38788.86076,23664.43769,24543.61446,86996.91291
22,13.11,67.49,4.914,0.044,0.163,38636.96203,23292.40122,24352.77108,86282.13433
22,12.97,70.2,4.919,0.037,0.096,38150.88608,23146.50456,24150.36145,85447.75209
22,13.01,72.2,4.918,0.029,0.145,37658.73418,22836.47416,23716.62651,84211.83485
22,12.87,72.6,4.914,0.055,0.126,36874.93671,22584.80243,23253.9759,82713.71504000001
23,12.97,71.9,4.911,0.073,0.167,36012.1519,21946.50456,22872.28916,80830.94562
23,12.79,73.4,4.912,0.051,0.141,35125.06329,21505.16717,22502.16867,79132.39913
23,12.39,74.2,4.917,0.059,0.137,34481.01266,20990.88146,22120.48193,77592.37604999999
23,12.6,75.6,4.911,0.051,0.152,33903.79747,20662.61398,21628.91566,76195.32711
23,12.12,77.0,4.913,0.062,0.13,33028.86076,20009.72644,21085.3012,74123.8884
23,11.87,77.5,4.918,0.066,0.148,31819.74684,19159.87842,20217.83133,71197.45659
0,11.6,75.8,4.912,0.059,0.126,30920.50633,18988.44985,19749.39759,69658.35377
0,11.35,75.2,4.914,0.048,0.119,29820.75949,18466.8693,19240.48193,67528.11072
0,11.66,74.9,4.916,0.059,0.1,28988.35443,17788.44985,18772.04819,65548.85247
0,11.5,74.0,4.915,0.073,0.122,28362.53165,17434.65046,18349.87952,64147.06163
0,11.23,74.9,4.916,0.04,0.163,27517.97468,16785.41033,18054.93976,62358.32477
0,11.58,74.6,4.917,0.055,0.115,26855.6962,16413.37386,17696.38554,60965.4556
1,11.58,73.5,4.914,0.059,0.148,26071.89873,16037.68997,17349.39759,59458.98629
1,11.18,75.5,4.915,0.059,0.1,25646.58228,15264.43769,17048.6747,57959.69467
1,10.91,76.7,4.92,0.037,0.119,25263.79747,15082.06687,16643.85542,56989.71976
1,10.87,77.0,4.916,0.059,0.111,24522.53165,14644.3769,16528.19277,55695.10132
1,10.97,77.0,4.913,0.073,0.141,24121.51899,14472.94833,16337.3494,54931.816719999995
1,11.06,75.7,4.915,0.077,0.13,23775.18987,14184.80243,16036.62651,53996.61881
2,11.31,74.7,4.912,0.055,0.178,23501.77215,13940.42553,15863.13253,53305.33021
2,11.41,73.6,4.917,0.062,0.096,22839.49367,13776.29179,15724.33735,52340.12281
2,11.54,73.9,4.915,0.062,0.13,22566.07595,13327.65957,15498.79518,51392.5307
2,11.61,73.0,4.913,0.095,0.115,22298.73418,13272.94833,15313.73494,50885.41745
2,11.71,73.2,4.915,0.073,0.134,22183.29114,13181.76292,15226.98795,50592.042010000005
2,11.9,71.3,4.915,0.088,0.093,21855.18987,13021.2766,15007.22892,49883.69539
3,11.94,71.8,4.914,0.051,0.152,21709.36709,12911.8541,14718.07229,49339.29347999999
3,12.1,70.8,4.914,0.04,0.145,21606.07595,12773.25228,14561.92771,48941.25594
3,13.27,66.99,4.917,0.062,0.13,21551.39241,12747.72036,14504.09639,48803.20916
3,13.87,63.49,4.916,0.051,0.119,21612.1519,12674.77204,14423.13253,48710.05647
3,14.38,59.85,4.914,0.081,0.111,21612.1519,12689.3617,14359.51807,48661.03167
3,14.3,58.35,4.919,0.062,0.119,21533.16456,12561.70213,14301.68675,48396.55344
4,13.72,62.52,4.92,0.048,0.13,21448.10127,12503.34347,14284.33735,48235.78209
4,13.49,62.08,4.919,0.044,0.093,21545.31646,12506.99088,14133.9759,48186.28324
4,12.18,69.76,4.915,0.044,0.093,21454.17722,12240.72948,14105.06024,47799.96694
4,11.75,71.4,4.916,0.095,0.145,21326.58228,12233.43465,14128.19277,47688.2097
4,11.6,71.7,4.922,0.051,0.145,21059.24051,12207.90274,14162.89157,47430.03482
4,11.68,71.5,4.919,0.066,0.178,21290.12658,12324.62006,14174.45783,47789.20447
5,11.72,69.63,4.916,0.055,0.122,21435.94937,12401.21581,14266.98795,48104.15313
5,11.56,69.9,4.917,0.051,0.145,21496.70886,12598.17629,14394.21687,48489.102020000006
5,11.73,69.13,4.92,0.033,0.141,21575.6962,12539.81763,14480.96386,48596.47769
5,11.33,70.6,4.915,0.033,0.145,21891.64557,12795.13678,14480.96386,49167.74621
5,11.39,70.7,4.922,0.07,0.134,22080.0,12886.32219,14527.22892,49493.55111
5,11.34,69.67,4.915,0.048,0.122,23040.0,13360.48632,15093.9759,51494.462219999994
6,11.22,69.8,4.921,0.059,0.126,23483.5443,13670.51672,15070.84337,52224.90439
6,11.17,69.91,4.92,0.066,0.115,23088.60759,13331.30699,14885.78313,51305.69770999999
6,11.2,69.24,4.918,0.048,0.137,22961.01266,13094.22492,14342.16867,50397.40625
6,10.99,69.61,4.914,0.07,0.122,22918.48101,13185.41033,14168.6747,50272.566040000005
6,10.94,69.55,4.918,0.066,0.137,22487.08861,12488.7538,13995.18072,48971.02313
6,11.12,69.48,4.918,0.048,0.145,21624.3038,11857.75076,13850.60241,47332.656970000004
7,11.07,69.21,4.921,0.081,0.108,20773.67089,11463.82979,13549.87952,45787.3802
7,11.31,68.31,4.917,0.07,0.115,19728.60759,10942.24924,12456.86747,43127.724299999994
7,11.03,68.95,4.917,0.055,0.134,19303.29114,10595.74468,11421.68675,41320.72257
7,10.84,69.75,4.917,0.073,0.185,19224.3038,10468.08511,10687.22892,40379.61783
7,11.1,69.05,4.917,0.077,0.134,19321.51899,10475.37994,10635.18072,40432.07965
7,11.08,68.25,4.917,0.059,0.115,19418.73418,10530.09119,10617.83133,40566.6567
8,11.32,68.05,4.92,0.479,0.445,20014.17722,10694.22492,10681.44578,41389.84792
8,11.31,68.35,4.918,2.083,2.084,20384.81013,11007.90274,10872.28916,42265.00203
8,11.47,67.94,4.919,5.724,5.548,20500.25316,11226.74772,11005.3012,42732.30208
8,11.54,67.68,4.917,11.18,10.82,20937.72152,11314.28571,11404.33735,43656.34458
8,11.51,68.18,4.921,46.92,45.87,21217.21519,11675.37994,11572.04819,44464.64332
8,11.43,67.81,4.917,71.4,69.95,21934.17722,12007.29483,11809.15663,45750.62868
9,11.81,68.38,4.916,97.7,93.2,22505.31646,12401.21581,12138.79518,47045.32745
9,13.59,60.73,4.922,124.8,108.7,22973.16456,12627.35562,12532.04819,48132.56837
9,14.46,57.16,4.919,157.1,116.3,23374.17722,13086.93009,12873.25301,49334.36032
9,14.88,54.09,4.918,185.8,96.8,23769.11392,13582.97872,13116.14458,50468.23722
9,15.03,52.65,4.918,215.0,74.6,24753.41772,13962.31003,13440.0,52155.727750000005
9,15.07,51.82,4.92,172.5,60.42,25701.26582,14513.06991,13752.28916,53966.62489
10,15.08,51.79,4.916,212.2,56.81,26248.10127,14651.67173,14151.3253,55051.0983
10,15.31,51.25,4.915,275.0,53.3,26946.83544,15001.82371,14284.33735,56232.9965
10,15.45,51.29,4.917,317.1,47.78,27596.96203,15366.56535,14538.79518,57502.32256
10,15.5,51.72,4.916,342.0,48.36,28295.6962,15891.79331,14729.63855,58917.12806
10,15.6,51.69,4.916,362.8,50.3,28994.43038,16147.11246,15226.98795,60368.530790000004
10,15.7,52.09,4.913,396.9,58.01,29480.50633,16300.30395,15718.55422,61499.364499999996
11,15.7,53.22,4.917,395.5,58.58,30094.17722,16606.68693,15949.87952,62650.74367
11,16.06,50.72,4.916,446.1,64.92,29772.1519,16800.0,16111.80723,62683.959129999996
11,16.22,51.69,4.916,467.5,75.5,29875.44304,16964.13374,16250.60241,63090.17919
11,16.33,49.62,4.915,439.4,82.8,30422.27848,17161.09422,16343.13253,63926.50523
11,16.41,49.22,4.917,496.3,88.4,30920.50633,17339.81763,16453.01205,64713.33601
11,16.57,49.02,4.915,514.2,87.2,31485.56962,17343.46505,16470.36145,65299.39611999999
12,16.58,50.35,4.919,514.7,93.8,31649.62025,17412.76596,16481.92771,65544.31392
12,16.75,49.32,4.918,523.3,111.1,31473.41772,17627.96353,16493.49398,65594.87523
12,16.85,48.75,4.915,473.0,109.5,31649.62025,17762.91793,16695.90361,66108.44179000001
12,16.87,49.02,4.916,453.4,96.1,31844.05063,17686.32219,16840.48193,66370.85475
12,16.87,48.45,4.918,509.3,91.6,31916.96203,17675.37994,16788.43373,66380.7757
12,17.03,48.08,4.922,545.3,89.6,31923.03797,17751.97568,16724.81928,66399.83293
13,17.45,47.85,4.918,561.0,79.3,32190.37975,17711.8541,16886.74699,66788.98084
13,17.71,46.68,4.916,562.1,70.1,32299.74684,17358.05471,17187.46988,66845.27143000001
13,17.71,49.12,4.914,564.5,70.8,32384.81013,17544.07295,17268.43373,67197.31681
13,17.77,48.81,4.914,613.2,117.2,32190.37975,17562.31003,17233.73494,66986.42472
13,17.71,50.35,4.914,626.3,133.0,32105.31646,17314.28571,17170.12048,66589.72265
13,17.64,50.08,4.922,496.9,99.2,31971.64557,17525.83587,16846.26506,66343.74650000001
14,17.54,50.01,4.917,448.2,91.8,32105.31646,17288.7538,16828.91566,66222.98591999999
14,17.37,49.31,4.921,552.1,108.6,32129.62025,17354.40729,16846.26506,66330.2926
14,17.26,49.41,4.918,607.1,149.1,31564.55696,17525.83587,16626.50602,65716.89885
14,17.29,49.71,4.916,582.3,180.5,31114.93671,17317.93313,16528.19277,64961.06261
14,17.38,50.48,4.915,518.1,184.5,31212.1519,17306.99088,16528.19277,65047.33555
14,17.54,50.41,4.917,582.8,172.1,30671.39241,17343.46505,16395.18072,64410.03818
15,17.4,51.77,4.919,488.2,155.5,30823.29114,17255.92705,16233.25301,64312.4712
15,17.32,51.87,4.919,539.6,174.9,30908.35443,17146.50456,16192.77108,64247.63007
15,17.13,51.67,4.917,494.5,206.6,30628.86076,16796.35258,16239.03614,63664.24948
15,17.09,51.9,4.919,462.8,282.8,30100.25316,17058.96657,16308.43373,63467.65346
15,16.95,53.47,4.918,404.6,330.6,29936.20253,16905.77508,16354.6988,63196.67641
15,16.82,55.14,4.917,394.9,372.0,29875.44304,16719.75684,16302.6506,62897.85048
16,16.75,54.71,4.918,386.7,401.1,29358.98734,16756.231,16481.92771,62597.146049999996
16,16.8,54.87,4.921,368.9,405.3,29134.17722,16409.72644,16337.3494,61881.253059999995
16,16.77,53.97,4.915,340.3,382.7,28945.82278,16249.24012,16296.86747,61491.930369999995
16,16.78,54.31,4.916,239.8,264.4,28806.07595,16161.70213,16140.72289,61108.500969999994
16,16.56,55.14,4.917,159.5,171.1,28775.6962,16081.45897,16100.24096,60957.396129999994
16,16.6,53.64,4.919,103.3,104.7,28812.1519,16099.69605,16117.59036,61029.438310000005
17,16.69,53.34,4.926,135.4,144.4,28976.20253,16336.77812,16106.0241,61419.00475
17,16.71,53.24,4.92,115.8,119.6,29024.81013,16289.3617,16435.66265,61749.83448
17,16.55,53.97,4.918,105.2,111.5,29468.35443,16690.57751,17112.28916,63271.221099999995
17,16.45,54.21,4.917,62.23,63.87,30397.97468,17354.40729,18095.42169,65847.80366
17,16.38,55.11,4.916,92.3,106.5,31564.55696,18149.54407,19992.28916,69706.39019
17,16.31,55.51,4.916,98.6,117.2,34152.91139,19754.40729,22669.87952,76577.1982
18,16.16,55.77,4.919,51.42,58.47,36978.22785,21465.04559,24277.59036,82720.8638
18,16.04,56.21,4.917,29.18,31.91,38539.74684,22592.09726,24919.51807,86051.36217000001
18,15.92,56.88,4.914,20.51,21.5,39220.25316,22975.07599,24688.19277,86883.52192
18,15.68,58.41,4.919,11.88,12.29,39438.98734,22719.75684,24508.91566,86667.65984
18,15.63,58.81,4.92,4.736,4.729,39360.0,22953.19149,24618.79518,86931.98667
18,15.73,58.04,4.917,3.506,3.542,39323.5443,22902.12766,24717.10843,86942.78039
19,15.66,58.24,4.916,0.534,0.471,39505.82278,22913.06991,24693.9759,87112.86859
19,15.65,58.38,4.922,0.091,0.108,39572.65823,22876.59574,24763.37349,87212.62746
19,15.72,57.34,4.922,0.07,0.093,39396.4557,22701.51976,24601.44578,86699.42124
19,15.71,57.58,4.92,0.095,0.093,39372.1519,22898.48024,24734.45783,87005.08997
19,15.89,55.94,4.918,0.04,0.152,39414.68354,22872.94833,24624.57831,86912.21018
19,16.01,55.27,4.922,0.066,0.119,39584.81013,22924.01216,24670.84337,87179.66566
20,16.15,55.11,4.915,0.077,0.13,39414.68354,23055.31915,24699.75904,87169.76173
20,15.94,56.01,4.914,0.059,0.104,39724.55696,22909.42249,24676.62651,87310.60596
20,16.03,55.81,4.924,0.04,0.122,40064.81013,22829.17933,24769.15663,87663.14609
20,16.23,55.21,4.918,0.051,0.104,40453.67089,22920.36474,24485.78313,87859.81876
20,16.31,53.4,4.924,0.062,0.104,40301.77215,23084.49848,24433.73494,87820.00557
20,16.32,53.54,4.921,0.07,0.134,40137.72152,23463.82979,24659.27711,88260.82841999999
21,16.3,54.11,4.916,0.066,0.085,40307.8481,23854.10334,25127.71084,89289.66228
21,16.24,54.47,4.917,0.088,0.082,40678.48101,24000.0,25382.16867,90060.64968
21,16.75,54.07,4.925,0.081,0.104,40526.58228,24200.6079,25243.37349,89970.56367
21,17.07,52.34,4.919,0.088,0.078,40247.08861,24167.78116,25029.39759,89444.26736
21,16.75,52.57,4.917,0.066,0.134,40101.26582,24113.06991,24855.90361,89070.23934
21,16.44,54.44,4.923,0.062,0.111,40174.17722,24196.96049,24884.81928,89255.95698999999
22,16.15,55.67,4.914,0.059,0.093,39730.63291,23795.74468,24670.84337,88197.22096
22,16.15,56.04,4.918,0.066,0.078,39183.79747,23668.08511,24294.93976,87146.82234
22,16.34,56.31,4.92,0.055,0.119,38576.20253,23299.69605,23994.21687,85870.11545
22,16.25,56.88,4.918,0.062,0.082,37737.72152,22978.7234,23699.27711,84415.72202999999
22,15.97,57.81,4.922,0.102,0.085,37154.43038,22665.04559,23282.89157,83102.36754
22,15.67,59.35,4.922,0.051,0.104,36565.06329,22139.81763,22860.72289,81565.60381
23,15.88,58.24,4.915,0.055,0.119,35872.40506,21559.87842,22288.19277,79720.47625
23,15.95,58.34,4.917,0.04,0.082,35149.36709,21187.84195,21785.06024,78122.26928000001
23,15.85,59.18,4.916,0.07,0.111,34098.22785,20520.36474,21108.43373,75727.02632
23,15.9,59.41,4.916,0.044,0.137,33205.06329,20381.76292,20674.6988,74261.52501
23,16.08,59.25,4.92,0.07,0.115,32232.91139,19623.1003,20003.85542,71859.86710999999
23,16.01,59.48,4.918,0.062,0.085,31181.77215,19189.05775,19408.19277,69779.02267
0,16.02,60.45,4.913,0.091,0.115,30495.18987,18674.77204,18864.57831,68034.54022
0,16.34,59.31,4.916,0.081,0.115,29760.0,17945.28875,18245.78313,65951.07188
0,16.32,59.61,4.92,0.066,0.152,29000.50633,17613.37386,17788.91566,64402.795849999995
0,16.39,59.25,4.918,0.037,0.111,28320.0,17073.55623,17337.83133,62731.38756
0,16.54,58.61,4.922,0.055,0.089,27669.87342,16493.61702,17008.19277,61171.68321
0,16.29,59.45,4.922,0.091,0.07,26977.21519,16110.6383,16771.08434,59858.93783
1,16.34,59.45,4.915,0.073,0.148,26065.82278,15570.82067,16557.10843,58193.751879999996
1,16.24,59.71,4.916,0.037,0.119,25391.39241,15074.77204,16210.12048,56676.284929999994
1,16.32,59.85,4.918,0.044,0.137,25014.68354,14947.11246,15944.09639,55905.89239
1,16.29,60.05,4.918,0.07,0.126,24583.29114,14728.26748,15770.60241,55082.16103
1,16.39,60.11,4.919,0.062,0.115,24212.65823,14272.34043,15550.84337,54035.84203
1,16.21,60.48,4.918,0.062,0.141,24000.0,14265.04559,15336.86747,53601.91306
2,16.01,61.65,4.915,0.084,0.078,23605.06329,13944.07295,15140.24096,52689.3772
2,15.84,62.32,4.916,0.059,0.1,23374.17722,13776.29179,14984.09639,52134.5654
2,15.74,63.15,4.918,0.07,0.119,22967.08861,13572.03647,14851.08434,51390.20942
2,15.56,64.45,4.916,0.07,0.115,22572.1519,13455.31915,14908.91566,50936.38671
2,15.44,64.89,4.918,0.033,0.093,22590.37975,13324.01216,14764.33735,50678.72926
2,15.41,65.19,4.919,0.048,0.13,22626.83544,13349.54407,14752.77108,50729.15059
3,15.38,65.62,4.916,0.04,0.085,22365.56962,13254.71125,14613.9759,50234.25677
3,15.69,64.29,4.916,0.073,0.111,22286.58228,13163.52584,14579.27711,50029.38523
3,15.67,64.69,4.923,0.051,0.093,22171.13924,13272.94833,14492.53012,49936.61769
3,15.9,64.12,4.918,0.051,0.108,22055.6962,13137.99392,14457.83133,49651.52145
3,16.02,63.45,4.918,0.091,0.085,21994.93671,13043.16109,14371.08434,49409.182140000004
3,16.15,63.12,4.918,0.062,0.104,21976.70886,13229.17933,14342.16867,49548.05686
4,16.07,64.62,4.92,0.084,0.108,22019.24051,13057.75076,14376.86747,49453.858739999996
4,15.96,64.89,4.917,0.062,0.093,21934.17722,12802.43161,14457.83133,49194.44016
4,16.06,64.55,4.92,0.106,0.096,21843.03797,12853.49544,14353.73494,49050.268350000006
4,16.28,64.99,4.917,0.051,0.108,21994.93671,12926.44377,14290.12048,49211.50096
4,15.95,66.12,4.915,0.055,0.148,22031.39241,12937.38602,14284.33735,49253.11578
4,16.5,64.92,4.916,0.04,0.156,22086.07595,12970.21277,14452.04819,49508.33691
5,16.53,62.75,4.92,0.051,0.185,22244.05063,13043.16109,14434.6988,49721.91052
5,16.69,62.82,4.92,0.055,0.159,22104.3038,13294.83283,14469.39759,49868.53422
5,16.96,60.88,4.918,0.055,0.115,22152.91139,13415.19757,14388.43373,49956.54269
5,16.93,60.98,4.916,0.066,0.1,22207.59494,13491.79331,14486.74699,50186.135239999996
5,16.69,62.52,4.916,0.062,0.122,22505.31646,13732.5228,14781.68675,51019.52601
5,16.54,63.18,4.916,0.084,0.122,23611.13924,14454.71125,15244.33735,53310.18784
6,16.52,63.75,4.923,0.048,0.13,23969.62025,14742.85714,15007.22892,53719.70631
6,16.36,65.22,4.916,0.07,0.126,24109.36709,14407.29483,14874.21687,53390.87879
6,16.15,66.46,4.917,0.048,0.137,24060.75949,14348.93617,14781.68675,53191.38241
6,16.06,67.09,4.92,0.059,0.13,23921.01266,14370.82067,14608.19277,52900.0261
6,15.87,69.69,4.917,0.073,0.145,23477.46835,14089.9696,14411.56627,51979.00422
6,15.77,69.76,4.914,0.055,0.115,22869.87342,13484.49848,13937.3494,50291.7213
7,16.02,67.62,4.922,0.04,0.171,21776.20253,13174.46809,12965.78313,47916.45375
7,15.92,67.86,4.917,0.055,0.115,20755.44304,13035.86626,12005.78313,45797.092430000004
7,15.99,67.66,4.915,0.077,0.1,20889.11392,12951.97568,11074.6988,44915.7884
7,15.94,67.59,4.914,0.07,0.134,21059.24051,13123.40426,10640.96386,44823.60863
7,15.89,68.26,4.913,0.055,0.178,21083.5443,13163.52584,10490.60241,44737.67255
7,15.74,69.23,4.915,0.084,0.1,21435.94937,13418.84498,10467.46988,45322.26423
8,15.78,69.29,4.916,0.117,0.174,21636.4557,13845.59271,10773.9759,46256.02431
8,15.78,70.6,4.916,0.479,0.56,23167.59494,14177.5076,10802.89157,48147.99411
8,15.64,72.1,4.914,2.093,1.999,24006.07595,14710.0304,10785.54217,49501.64852
8,15.69,71.5,4.915,6.906,6.705,25038.98734,15337.38602,11138.31325,51514.68661
8,15.58,76.7,4.915,16.68,16.2,25701.26582,15486.93009,11427.46988,52615.66579
8,15.37,77.3,4.912,27.27,26.73,26084.05063,16030.39514,11849.63855,53964.08432000001
9,15.68,74.9,4.914,47.95,47.69,26527.59494,16340.42553,12040.48193,54908.502400000005
9,15.76,72.8,4.913,61.82,61.96,27031.89873,16675.98784,12717.10843,56424.995
9,15.79,72.6,4.91,43.39,42.65,27384.3038,17248.63222,13058.31325,57691.24927
9,15.8,72.9,4.912,47.05,46.32,27991.89873,17405.47112,13295.42169,58692.791540000006
9,15.81,73.1,4.916,59.95,58.81,28866.83544,17660.79027,13740.72289,60268.3486
9,15.98,72.2,4.918,84.0,82.7,29832.91139,18138.60182,13885.3012,61856.814410000006
10,16.08,71.2,4.914,80.8,77.0,30416.20253,18408.51064,14226.50602,63051.21919
10,16.17,70.1,4.913,118.0,111.4,31078.48101,18499.69605,14723.85542,64302.03248
10,16.37,69.13,4.917,174.7,164.6,31637.46835,19072.34043,14764.33735,65474.14613
10,16.55,67.76,4.915,221.0,208.5,32141.77215,19280.24316,15041.92771,66463.94302
10,16.71,66.76,4.915,200.8,186.6,32876.96203,19524.62006,15174.93976,67576.52185
10,16.79,65.79,4.919,153.4,137.2,33363.03797,19845.59271,15174.93976,68383.57044
11,16.71,66.39,4.914,180.1,165.7,33666.83544,19922.18845,15724.33735,69313.36124
11,16.66,66.12,4.914,171.9,160.8,34110.37975,19984.19453,15845.78313,69940.35741
11,16.85,64.85,4.917,133.0,119.4,34420.25316,20290.57751,15984.57831,70695.40898
11,16.8,64.59,4.914,105.3,103.4,34730.12658,20458.35866,16100.24096,71288.72619999999
11,16.97,64.89,4.914,415.5,401.9,34511.39241,20575.07599,16262.16867,71348.63707
11,17.1,64.99,4.914,343.0,319.9,34967.08861,20841.33739,16383.61446,72192.04046
12,17.28,65.42,4.916,609.2,555.7,35052.1519,21009.11854,16597.59036,72658.8608
12,17.46,63.95,4.915,419.2,361.6,35197.97468,20793.92097,16690.12048,72682.01613
12,17.16,64.65,4.915,351.3,315.9,35289.11392,20866.8693,16776.86747,72932.85069
12,17.45,65.02,4.918,594.4,467.2,35307.34177,20947.11246,17013.9759,73268.43013000001
12,17.79,63.72,4.916,750.0,552.4,35392.40506,20899.69605,17199.03614,73491.13725
12,17.84,63.82,4.916,658.0,458.4,34875.94937,21147.72036,17193.25301,73216.92274000001
13,17.73,64.12,4.909,427.4,292.2,35118.98734,21001.82371,17100.72289,73221.53394000001
13,17.59,64.69,4.915,177.0,149.3,35125.06329,20786.62614,17193.25301,73104.94244
13,17.49,66.29,4.916,215.1,174.2,35149.36709,20808.51064,17499.75904,73457.63677
13,17.8,65.35,4.92,222.8,192.3,35210.12658,20600.6079,17638.55422,73449.2887
13,18.16,64.75,4.917,185.0,173.3,35131.13924,20432.82675,17499.75904,73063.72503
13,18.25,63.15,4.916,262.2,242.2,34578.22785,20549.54407,17453.49398,72581.2659
14,18.34,63.08,4.914,293.2,272.8,34547.8481,20454.71125,17389.87952,72392.43887
14,18.31,62.45,4.914,234.4,231.5,34736.20253,20658.96657,17314.6988,72709.8679
14,18.31,62.55,4.916,206.2,199.1,34845.56962,20545.89666,17170.12048,72561.58676
14,18.28,62.65,4.915,149.0,149.1,34839.49367,20593.31307,16776.86747,72209.67421
14,18.22,63.25,4.917,192.3,194.8,34493.16456,20728.26748,16690.12048,71911.55252
